experience_years,ai_tool_usage_hours_per_week,tasks_automated_percent,manual_work_hours_per_week,learning_time_hours_per_week,meeting_hours_per_week,collaboration_hours_per_week,error_rate_percent,task_complexity_score,focus_hours_per_day,work_life_balance_score,burnout_risk_score,job_role_Analyst,job_role_Designer,job_role_Developer,job_role_Manager,job_role_Marketer,job_role_Writer,deadline_pressure_level_High,deadline_pressure_level_Low,deadline_pressure_level_Medium,productivity_score
8,11.5,33.8,10.0,1.2,14.3,12.2,2.38,4,3.1,4.1,10.0,0,0,0,1,0,0,1,0,0,49.2
13,10.9,32.6,16.7,0.8,2.4,6.8,2.86,8,7.4,7.0,7.3,1,0,0,0,0,0,0,0,1,83.3
10,10.1,26.8,23.7,3.1,13.6,7.8,0.1,6,3.8,4.2,7.74,0,0,0,1,0,0,0,1,0,73.0
2,3.1,11.1,21.7,0.6,18.9,13.1,4.84,3,2.1,3.6,9.82,0,0,0,1,0,0,0,0,1,20.5
1,0.9,1.0,27.0,0.9,4.8,7.5,2.74,10,3.2,7.8,5.06,0,1,0,0,0,0,0,1,0,46.8
11,5.3,20.3,25.6,2.7,15.1,13.2,0.1,6,2.4,4.5,7.51,0,0,0,1,0,0,0,1,0,59.0
1,1.9,13.1,22.6,3.2,5.8,4.7,3.39,7,6.1,6.9,7.37,0,0,0,0,1,0,0,0,1,52.9
6,16.0,41.8,21.9,2.7,6.2,9.4,0.27,2,6.4,5.0,7.15,0,0,1,0,0,0,0,1,0,85.3
3,1.6,0.0,24.9,1.2,9.7,12.1,0.8,5,3.6,3.9,10.0,0,0,0,1,0,0,1,0,0,41.2
11,9.0,17.7,25.3,5.0,7.2,7.8,2.81,9,3.4,5.6,6.69,1,0,0,0,0,0,0,1,0,61.9
3,12.9,33.0,10.0,0.5,9.3,13.5,3.28,4,3.0,8.0,4.93,0,1,0,0,0,0,0,1,0,62.7
8,0.0,0.0,29.9,2.6,5.1,7.5,2.84,3,6.7,7.2,5.5,0,0,1,0,0,0,0,1,0,57.1
7,5.0,21.8,22.0,7.5,5.6,8.2,0.1,1,4.9,6.4,7.76,0,0,0,1,0,0,0,0,1,68.3
2,6.6,18.3,33.7,2.8,7.5,9.8,2.64,4,4.9,4.0,7.87,0,0,0,0,1,0,0,1,0,52.3
4,4.0,13.0,30.3,1.8,4.6,5.5,0.23,8,5.3,6.3,6.18,1,0,0,0,0,0,0,1,0,70.7
13,9.5,21.8,26.1,1.2,10.7,13.0,1.47,6,5.0,4.4,7.58,0,0,0,0,1,0,0,1,0,68.3
20,13.3,32.6,13.9,3.9,8.4,9.0,0.95,6,4.4,4.1,10.0,0,0,1,0,0,0,1,0,0,78.3
19,12.8,26.4,24.8,0.9,5.8,8.5,3.59,9,4.8,5.2,7.0,0,0,1,0,0,0,0,1,0,79.6
15,13.4,29.7,20.9,0.3,2.5,7.0,0.24,9,6.0,6.8,5.81,0,0,1,0,0,0,0,1,0,89.5
15,15.3,38.1,11.8,2.7,8.3,7.8,1.86,2,4.2,5.6,8.32,0,0,0,0,0,1,0,0,1,74.4
6,5.1,6.4,25.2,1.0,4.8,8.9,1.11,5,4.4,4.2,10.0,0,1,0,0,0,0,1,0,0,42.7
3,11.7,32.1,18.4,1.6,4.8,2.9,2.12,4,2.9,4.3,10.0,0,0,1,0,0,0,1,0,0,39.8
3,1.7,4.2,29.3,0.9,9.1,11.2,3.86,10,5.2,3.0,10.0,0,1,0,0,0,0,1,0,0,40.4
15,1.5,4.0,24.2,1.3,5.0,13.6,0.1,5,4.4,6.8,7.44,0,0,0,1,0,0,0,0,1,69.2
3,12.3,31.0,19.7,3.1,1.6,4.9,2.47,10,5.4,6.1,7.97,0,0,0,0,1,0,0,0,1,58.6
8,6.7,29.7,10.0,0.4,8.6,11.8,1.98,7,4.5,8.2,6.42,0,1,0,0,0,0,0,0,1,72.3
5,12.1,19.1,29.3,1.1,1.0,6.6,3.28,6,4.9,5.4,6.84,1,0,0,0,0,0,0,1,0,53.1
8,10.9,26.8,16.7,2.7,1.0,7.0,3.87,8,5.6,8.8,4.32,0,0,1,0,0,0,0,1,0,63.4
1,11.1,30.5,19.3,0.3,8.8,8.5,1.16,6,6.0,3.2,10.0,0,0,0,1,0,0,1,0,0,69.1
17,5.6,10.6,26.5,2.6,4.3,6.6,0.1,9,4.5,6.9,5.73,0,1,0,0,0,0,0,1,0,71.6
18,20.0,41.2,19.8,1.6,2.4,9.5,2.75,7,5.3,5.5,6.78,0,0,1,0,0,0,0,1,0,87.2
6,14.3,24.3,20.0,4.6,3.8,6.2,0.1,7,5.4,3.5,10.0,0,0,0,0,1,0,1,0,0,71.5
14,5.3,16.1,27.2,1.3,6.8,9.1,0.54,4,3.9,4.7,9.01,1,0,0,0,0,0,0,0,1,60.3
11,16.5,51.0,16.8,1.0,6.1,9.2,4.96,2,4.7,6.2,6.26,1,0,0,0,0,0,0,1,0,71.1
2,6.0,20.8,20.7,4.0,12.4,10.5,1.49,1,4.8,3.2,10.0,0,0,0,1,0,0,1,0,0,56.8
16,13.5,36.2,13.8,1.7,7.4,7.7,0.1,9,4.9,7.3,5.43,0,0,0,0,1,0,0,1,0,82.9
14,10.9,31.2,18.9,2.9,8.5,10.7,2.96,5,4.2,3.4,10.0,1,0,0,0,0,0,1,0,0,61.1
5,14.8,37.0,16.2,5.4,5.2,10.6,2.63,8,4.7,7.0,5.67,1,0,0,0,0,0,0,1,0,75.7
5,7.2,14.9,31.2,3.4,4.2,9.0,3.42,7,5.2,2.3,10.0,1,0,0,0,0,0,1,0,0,48.8
20,12.8,36.9,22.5,2.5,8.9,8.4,3.65,8,3.8,2.0,10.0,0,0,1,0,0,0,1,0,0,72.6
17,17.4,43.2,14.4,2.3,4.7,6.6,1.15,9,3.0,5.4,8.49,0,0,1,0,0,0,0,0,1,82.3
3,3.4,6.4,24.5,1.0,13.7,11.5,1.12,5,3.9,5.6,6.7,0,0,0,1,0,0,0,1,0,48.0
8,9.6,25.2,22.3,3.9,1.0,10.2,0.1,3,5.9,4.8,10.0,0,0,0,0,1,0,1,0,0,71.2
18,18.1,45.9,16.8,1.6,5.4,8.8,4.27,3,5.4,2.9,10.0,0,0,1,0,0,0,1,0,0,83.4
20,24.9,55.8,13.5,4.0,2.1,6.3,1.12,7,4.9,5.9,6.48,0,0,1,0,0,0,0,1,0,98.2
19,5.7,22.2,20.7,1.5,1.0,6.7,3.36,5,6.6,6.2,9.54,0,0,0,0,0,1,1,0,0,69.6
17,6.4,11.0,23.9,2.0,3.9,4.9,2.38,9,5.9,7.5,5.3,0,0,0,0,0,1,0,1,0,78.3
4,6.4,18.1,23.2,0.2,1.0,6.0,1.85,3,7.1,6.8,7.44,0,0,0,0,1,0,0,0,1,69.8
8,15.0,45.4,11.2,1.8,4.3,11.2,1.67,4,5.0,8.4,4.63,0,0,1,0,0,0,0,1,0,71.9
7,11.9,39.9,31.0,3.2,8.9,12.8,4.02,6,2.3,3.1,8.56,0,0,0,0,1,0,0,1,0,52.8
6,22.7,57.6,13.9,0.4,3.4,7.4,4.87,5,4.3,6.0,6.4,0,0,1,0,0,0,0,1,0,75.1
19,7.4,18.5,17.1,6.5,15.6,12.2,1.62,6,2.0,6.0,6.41,0,0,0,1,0,0,0,1,0,65.9
15,7.9,15.9,30.5,0.4,10.9,9.1,4.57,3,4.7,1.0,10.0,0,0,0,0,1,0,1,0,0,63.9
11,1.8,2.0,34.8,2.0,5.5,9.3,1.76,4,4.2,4.0,9.53,0,1,0,0,0,0,0,0,1,43.3
13,14.0,37.5,14.9,2.2,7.5,5.6,0.42,2,4.3,3.9,10.0,1,0,0,0,0,0,1,0,0,79.5
5,23.3,57.7,19.3,2.9,4.4,5.9,0.47,3,5.1,1.2,10.0,0,0,0,0,0,1,1,0,0,75.1
9,3.6,10.8,30.6,2.7,4.8,10.3,1.52,10,4.7,3.2,10.0,0,0,0,0,0,1,1,0,0,52.7
10,11.8,26.8,19.8,1.4,2.5,8.6,3.88,8,4.9,6.0,8.05,0,0,0,0,1,0,0,0,1,66.0
17,21.4,49.3,10.0,2.1,1.9,5.1,1.56,8,4.8,4.7,10.0,0,0,1,0,0,0,1,0,0,73.7
19,14.2,35.8,15.6,4.1,9.5,7.8,0.1,1,5.6,3.2,10.0,0,0,1,0,0,0,1,0,0,77.7
4,9.8,25.6,20.4,1.8,5.9,4.7,3.2,4,5.5,7.0,5.67,0,0,0,0,0,1,0,1,0,56.2
8,3.1,10.4,30.2,1.8,17.8,14.9,0.26,4,1.6,1.7,10.0,0,0,0,1,0,0,0,0,1,45.9
17,9.5,26.7,29.7,1.1,5.7,10.6,1.69,5,4.8,4.8,7.29,1,0,0,0,0,0,0,1,0,77.1
7,13.9,36.1,14.3,1.6,2.8,4.9,0.52,4,6.1,8.2,4.76,0,0,1,0,0,0,0,1,0,91.6
13,5.9,18.1,15.1,1.2,3.8,5.1,0.1,10,4.4,9.8,3.59,0,1,0,0,0,0,0,1,0,75.3
14,15.4,39.2,12.3,1.2,8.5,9.2,4.78,8,5.4,7.0,5.67,0,0,0,0,0,1,0,1,0,84.3
2,4.6,12.3,32.6,2.9,12.1,10.4,0.1,7,2.8,2.2,10.0,0,1,0,0,0,0,0,0,1,40.8
11,4.2,3.4,27.7,4.4,12.8,9.4,0.1,9,3.8,4.8,7.28,0,0,0,1,0,0,0,1,0,61.0
6,5.5,13.1,29.2,2.8,4.6,6.9,1.47,3,6.4,6.2,6.26,0,1,0,0,0,0,0,1,0,65.9
14,9.9,27.7,26.6,3.4,2.1,6.7,1.76,7,5.4,3.4,10.0,0,0,0,0,1,0,1,0,0,65.5
11,20.0,46.2,22.6,1.3,8.5,6.8,2.27,2,5.3,1.0,10.0,0,0,0,0,0,1,1,0,0,65.1
1,2.5,1.4,29.0,2.9,6.5,4.7,0.88,3,4.5,3.5,10.0,1,0,0,0,0,0,1,0,0,43.4
12,7.1,13.1,24.2,2.1,3.7,5.8,3.69,10,6.5,4.2,10.0,0,0,0,0,1,0,1,0,0,62.1
5,12.5,23.2,25.7,0.6,5.7,5.4,4.46,5,4.7,2.0,10.0,1,0,0,0,0,0,1,0,0,51.7
1,0.9,5.2,29.0,3.4,4.9,6.4,0.1,2,3.5,4.3,10.0,0,1,0,0,0,0,1,0,0,36.2
8,9.4,23.1,16.4,0.4,2.0,7.5,1.09,7,7.4,7.6,6.87,1,0,0,0,0,0,0,0,1,81.8
4,8.6,21.2,25.2,2.7,12.3,13.4,2.5,5,3.5,3.0,10.0,0,1,0,0,0,0,0,0,1,51.5
19,2.3,1.8,29.1,2.0,1.0,8.4,1.75,6,6.5,6.4,7.74,0,1,0,0,0,0,0,0,1,77.8
12,7.7,22.1,27.7,2.1,10.5,7.8,0.1,4,2.4,3.0,10.0,0,0,0,0,1,0,0,0,1,62.4
18,1.9,0.0,32.9,3.1,10.4,11.7,2.99,4,1.6,4.7,7.36,0,1,0,0,0,0,0,1,0,47.1
7,7.4,31.9,20.0,1.9,6.7,5.3,0.1,3,5.2,7.5,5.3,1,0,0,0,0,0,0,1,0,78.0
14,14.2,34.1,22.2,2.9,3.7,5.8,3.86,10,3.0,3.0,10.0,0,0,1,0,0,0,1,0,0,53.3
5,2.0,0.5,25.4,1.7,4.5,7.7,2.22,10,6.1,8.0,4.91,0,1,0,0,0,0,0,1,0,55.2
10,6.8,13.7,30.7,2.1,5.0,9.9,2.88,2,4.6,5.4,6.85,1,0,0,0,0,0,0,1,0,51.2
6,1.5,0.0,27.5,2.3,7.3,7.1,0.1,7,5.0,3.9,10.0,0,0,0,0,1,0,1,0,0,56.9
8,20.1,47.8,10.0,4.7,7.7,7.8,0.81,10,3.9,6.5,6.02,0,0,1,0,0,0,0,1,0,78.0
2,18.2,50.0,21.6,1.1,5.7,6.3,4.7,9,6.1,4.6,7.43,0,0,1,0,0,0,0,1,0,71.0
8,8.9,16.1,17.7,6.0,5.4,9.8,2.11,5,4.2,5.0,10.0,0,1,0,0,0,0,1,0,0,47.5
11,4.3,18.7,28.1,1.1,2.0,4.4,2.84,3,4.1,4.4,10.0,1,0,0,0,0,0,1,0,0,59.4
16,3.5,11.1,22.3,1.6,18.0,14.0,3.75,4,1.1,3.6,9.83,0,0,0,1,0,0,0,0,1,36.9
10,18.2,40.8,13.6,1.4,2.5,9.2,1.6,7,7.8,5.9,8.11,0,0,1,0,0,0,0,0,1,80.2
